shape,solver,input_v,input_f,vertices,faces,manifold,reason,final,min_view,min_normal,min_depth,compression
sphere_smooth,v23,10242,20480,2918,5832,True,ok,0.988053927,0.988027475,0.978278429,0.997776521,0.7150947080648311
sphere_smooth,v33,10242,20480,2900,5796,True,ok,0.987995895,0.987888227,0.977999935,0.997776519,0.7168521773091193
ellipsoid,v23,10242,20480,2918,5832,True,ok,0.995797354,0.995238801,0.991786803,0.998673151,0.7150947080648311
ellipsoid,v33,10242,20480,2897,5790,True,ok,0.995655634,0.995106679,0.991540216,0.998673141,0.7171450888498341
peanut_concave,v23,10242,20480,2970,5936,True,ok,0.992098727,0.989845041,0.979690086,0.999999996,0.7100175746924429
peanut_concave,v33,10242,20480,2962,5920,True,ok,0.992056365,0.989818983,0.97963797,0.999999995,0.7107986721343488
dimple_concave,v23,10242,20480,2970,5936,True,ok,0.989857045,0.988495292,0.979445913,0.997544671,0.7100175746924429
dimple_concave,v33,10242,20480,2952,5900,True,ok,0.989809777,0.988483014,0.979421369,0.997544648,0.7117750439367312
torus,v23,8192,16384,2457,4914,True,ok,0.986914581,0.985490377,0.970980765,0.997246697,0.7000732421875
torus,v33,8192,16384,2457,4914,True,ok,0.986914526,0.985284956,0.970569924,0.997246697,0.7000732421875
rounded_cube,v23,10242,20480,2918,5832,True,ok,0.996987873,0.996955393,0.993910787,0.999999999,0.7150947080648311
rounded_cube,v33,10242,20480,2900,5796,True,ok,0.99697304,0.996960435,0.993920871,0.999999998,0.7168521773091193
wavy_highfreq,v23,10242,20480,3072,6140,True,ok,0.953639142,0.946826207,0.911364193,0.982288221,0.7000585823081429
wavy_highfreq,v33,10242,20480,3072,6140,True,ok,0.953490715,0.946873987,0.911459755,0.98228822,0.7000585823081429
cube_planar_sharp,v23,6146,12288,1813,3622,False,area,0.877677507,0.85063763,0.759490027,0.941785233,0.7050113895216401
cube_planar_sharp,v33,6146,12288,1813,3622,False,area,0.875537893,0.855776007,0.766214846,0.942859928,0.7050113895216401
thin_box_sharp,v23,6146,12288,1843,3682,False,area,0.805471872,0.722891803,0.450869529,0.955085814,0.700130165961601
thin_box_sharp,v33,6146,12288,1641,3278,True,ok,0.803544465,0.742924772,0.493385776,0.949218864,0.732997071265864
cylinder_sharp,v23,24578,49152,7373,14742,False,area,0.8701608,0.789684594,0.654169317,0.922823949,0.7000162747172267
cylinder_sharp,v33,24578,49152,7250,14496,False,area,0.868924464,0.778554071,0.616165819,0.917075328,0.7050207502644641
cone_sharp,v23,12290,24576,3502,7000,False,area,0.855326409,0.74785092,0.647293941,0.848407899,0.715052888527258
cone_sharp,v33,12290,24576,3502,7000,True,ok,0.858825402,0.76457561,0.677399023,0.851752197,0.715052888527258
capsule,v23,8066,16128,2379,4754,True,ok,0.996682078,0.991047491,0.989753975,0.992341008,0.7050582692784528
capsule,v33,8066,16128,2373,4742,True,ok,0.996675279,0.991036502,0.989731995,0.992341008,0.705802132407637
t7_symmetric_sphere_diagnostic,v23,408578,817152,10623,21242,True,ok,0.999249129,0.999210376,0.998420752,0.999999999,0.9740000685303662
t7_symmetric_sphere_diagnostic,v33,408578,817152,10623,21242,True,ok,0.999248845,0.999209786,0.998419572,0.999999999,0.9740000685303662
